Not init distributed mode.
Start training
/home/multi-gpu/anaconda3/envs/RT/lib/python3.10/site-packages/torch/_utils.py:776: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
Initial lr:  [5e-05, 5e-05, 5e-05]
Resume checkpoint from ./output/rtdetr_regnet_6x_coco/checkpoint0050.pth
Loading last_epoch
Loading model.state_dict
Loading ema.state_dict
Loading optimizer.state_dict
Loading lr_scheduler.state_dict
loading annotations into memory...
Done (t=7.58s)
creating index...
index created!
loading annotations into memory...
Done (t=0.25s)
creating index...
index created!
number of params: 38516260
Epoch: [51]  [    0/14785]  eta: 8:25:40  lr: 0.000100  loss: 17.7936 (17.7936)  loss_vfl: 0.6674 (0.6674)  loss_bbox: 0.1708 (0.1708)  loss_giou: 0.6690 (0.6690)  loss_vfl_aux_0: 0.6327 (0.6327)  loss_bbox_aux_0: 0.1904 (0.1904)  loss_giou_aux_0: 0.7021 (0.7021)  loss_vfl_aux_1: 0.6364 (0.6364)  loss_bbox_aux_1: 0.1860 (0.1860)  loss_giou_aux_1: 0.6851 (0.6851)  loss_vfl_aux_2: 0.6412 (0.6412)  loss_bbox_aux_2: 0.1807 (0.1807)  loss_giou_aux_2: 0.6758 (0.6758)  loss_vfl_aux_3: 0.6802 (0.6802)  loss_bbox_aux_3: 0.1806 (0.1806)  loss_giou_aux_3: 0.6738 (0.6738)  loss_vfl_aux_4: 0.6999 (0.6999)  loss_bbox_aux_4: 0.1690 (0.1690)  loss_giou_aux_4: 0.6599 (0.6599)  loss_vfl_aux_5: 0.6836 (0.6836)  loss_bbox_aux_5: 0.1949 (0.1949)  loss_giou_aux_5: 0.7067 (0.7067)  loss_vfl_dn_0: 0.4712 (0.4712)  loss_bbox_dn_0: 0.2189 (0.2189)  loss_giou_dn_0: 0.7088 (0.7088)  loss_vfl_dn_1: 0.4142 (0.4142)  loss_bbox_dn_1: 0.1736 (0.1736)  loss_giou_dn_1: 0.6088 (0.6088)  loss_vfl_dn_2: 0.4039 (0.4039)  loss_bbox_dn_2: 0.1538 (0.1538)  loss_giou_dn_2: 0.5777 (0.5777)  loss_vfl_dn_3: 0.4092 (0.4092)  loss_bbox_dn_3: 0.1453 (0.1453)  loss_giou_dn_3: 0.5669 (0.5669)  loss_vfl_dn_4: 0.4093 (0.4093)  loss_bbox_dn_4: 0.1514 (0.1514)  loss_giou_dn_4: 0.5667 (0.5667)  loss_vfl_dn_5: 0.4095 (0.4095)  loss_bbox_dn_5: 0.1514 (0.1514)  loss_giou_dn_5: 0.5666 (0.5666)  time: 2.0521  data: 0.3214  max mem: 9583
Epoch: [51]  [  100/14785]  eta: 1:57:26  lr: 0.000100  loss: 16.1935 (15.7303)  loss_vfl: 0.6874 (0.6976)  loss_bbox: 0.1439 (0.1464)  loss_giou: 0.3968 (0.4560)  loss_vfl_aux_0: 0.8146 (0.7984)  loss_bbox_aux_0: 0.1590 (0.1584)  loss_giou_aux_0: 0.4014 (0.4787)  loss_vfl_aux_1: 0.7672 (0.7557)  loss_bbox_aux_1: 0.1559 (0.1507)  loss_giou_aux_1: 0.4016 (0.4661)  loss_vfl_aux_2: 0.7268 (0.7325)  loss_bbox_aux_2: 0.1499 (0.1479)  loss_giou_aux_2: 0.3827 (0.4583)  loss_vfl_aux_3: 0.7220 (0.7110)  loss_bbox_aux_3: 0.1475 (0.1470)  loss_giou_aux_3: 0.3953 (0.4583)  loss_vfl_aux_4: 0.6946 (0.7041)  loss_bbox_aux_4: 0.1431 (0.1460)  loss_giou_aux_4: 0.3910 (0.4555)  loss_vfl_aux_5: 0.8039 (0.7888)  loss_bbox_aux_5: 0.2209 (0.1930)  loss_giou_aux_5: 0.4928 (0.5386)  loss_vfl_dn_0: 0.4447 (0.4472)  loss_bbox_dn_0: 0.2901 (0.2640)  loss_giou_dn_0: 0.5817 (0.5701)  loss_vfl_dn_1: 0.3917 (0.3833)  loss_bbox_dn_1: 0.2106 (0.1946)  loss_giou_dn_1: 0.4486 (0.4620)  loss_vfl_dn_2: 0.3741 (0.3671)  loss_bbox_dn_2: 0.1713 (0.1738)  loss_giou_dn_2: 0.4271 (0.4336)  loss_vfl_dn_3: 0.3632 (0.3608)  loss_bbox_dn_3: 0.1669 (0.1678)  loss_giou_dn_3: 0.4193 (0.4249)  loss_vfl_dn_4: 0.3612 (0.3577)  loss_bbox_dn_4: 0.1680 (0.1663)  loss_giou_dn_4: 0.4158 (0.4224)  loss_vfl_dn_5: 0.3593 (0.3570)  loss_bbox_dn_5: 0.1680 (0.1663)  loss_giou_dn_5: 0.4158 (0.4226)  time: 0.4772  data: 0.0077  max mem: 16869
Epoch: [51]  [  200/14785]  eta: 1:54:20  lr: 0.000100  loss: 15.8395 (15.8688)  loss_vfl: 0.6580 (0.6986)  loss_bbox: 0.1606 (0.1536)  loss_giou: 0.4839 (0.4662)  loss_vfl_aux_0: 0.7862 (0.7900)  loss_bbox_aux_0: 0.1752 (0.1653)  loss_giou_aux_0: 0.4675 (0.4879)  loss_vfl_aux_1: 0.7276 (0.7513)  loss_bbox_aux_1: 0.1662 (0.1572)  loss_giou_aux_1: 0.4598 (0.4751)  loss_vfl_aux_2: 0.6749 (0.7290)  loss_bbox_aux_2: 0.1632 (0.1550)  loss_giou_aux_2: 0.4676 (0.4686)  loss_vfl_aux_3: 0.6602 (0.7111)  loss_bbox_aux_3: 0.1683 (0.1537)  loss_giou_aux_3: 0.4909 (0.4679)  loss_vfl_aux_4: 0.6626 (0.7049)  loss_bbox_aux_4: 0.1667 (0.1527)  loss_giou_aux_4: 0.4831 (0.4656)  loss_vfl_aux_5: 0.7389 (0.7810)  loss_bbox_aux_5: 0.1994 (0.1999)  loss_giou_aux_5: 0.5441 (0.5484)  loss_vfl_dn_0: 0.4391 (0.4507)  loss_bbox_dn_0: 0.2723 (0.2655)  loss_giou_dn_0: 0.5815 (0.5730)  loss_vfl_dn_1: 0.3918 (0.3850)  loss_bbox_dn_1: 0.2093 (0.1959)  loss_giou_dn_1: 0.4688 (0.4643)  loss_vfl_dn_2: 0.3762 (0.3685)  loss_bbox_dn_2: 0.2011 (0.1764)  loss_giou_dn_2: 0.4415 (0.4361)  loss_vfl_dn_3: 0.3674 (0.3623)  loss_bbox_dn_3: 0.2072 (0.1713)  loss_giou_dn_3: 0.4354 (0.4280)  loss_vfl_dn_4: 0.3662 (0.3595)  loss_bbox_dn_4: 0.2096 (0.1699)  loss_giou_dn_4: 0.4323 (0.4254)  loss_vfl_dn_5: 0.3654 (0.3587)  loss_bbox_dn_5: 0.2097 (0.1699)  loss_giou_dn_5: 0.4339 (0.4256)  time: 0.4940  data: 0.0076  max mem: 16869
Epoch: [51]  [  300/14785]  eta: 1:53:04  lr: 0.000100  loss: 15.5688 (15.8535)  loss_vfl: 0.6524 (0.6992)  loss_bbox: 0.1338 (0.1545)  loss_giou: 0.4290 (0.4613)  loss_vfl_aux_0: 0.7519 (0.7946)  loss_bbox_aux_0: 0.1433 (0.1672)  loss_giou_aux_0: 0.4405 (0.4837)  loss_vfl_aux_1: 0.7233 (0.7541)  loss_bbox_aux_1: 0.1320 (0.1591)  loss_giou_aux_1: 0.4357 (0.4706)  loss_vfl_aux_2: 0.6937 (0.7292)  loss_bbox_aux_2: 0.1376 (0.1567)  loss_giou_aux_2: 0.4385 (0.4644)  loss_vfl_aux_3: 0.6644 (0.7098)  loss_bbox_aux_3: 0.1358 (0.1552)  loss_giou_aux_3: 0.4308 (0.4640)  loss_vfl_aux_4: 0.6662 (0.7061)  loss_bbox_aux_4: 0.1316 (0.1536)  loss_giou_aux_4: 0.4285 (0.4605)  loss_vfl_aux_5: 0.8007 (0.7865)  loss_bbox_aux_5: 0.1813 (0.2012)  loss_giou_aux_5: 0.5069 (0.5441)  loss_vfl_dn_0: 0.4436 (0.4511)  loss_bbox_dn_0: 0.2211 (0.2684)  loss_giou_dn_0: 0.5226 (0.5679)  loss_vfl_dn_1: 0.3814 (0.3847)  loss_bbox_dn_1: 0.1605 (0.1995)  loss_giou_dn_1: 0.4391 (0.4602)  loss_vfl_dn_2: 0.3667 (0.3680)  loss_bbox_dn_2: 0.1423 (0.1794)  loss_giou_dn_2: 0.3951 (0.4320)  loss_vfl_dn_3: 0.3556 (0.3618)  loss_bbox_dn_3: 0.1276 (0.1743)  loss_giou_dn_3: 0.3882 (0.4241)  loss_vfl_dn_4: 0.3512 (0.3591)  loss_bbox_dn_4: 0.1255 (0.1728)  loss_giou_dn_4: 0.3824 (0.4216)  loss_vfl_dn_5: 0.3556 (0.3584)  loss_bbox_dn_5: 0.1255 (0.1729)  loss_giou_dn_5: 0.3824 (0.4218)  time: 0.4658  data: 0.0075  max mem: 16869
Epoch: [51]  [  400/14785]  eta: 1:52:27  lr: 0.000100  loss: 14.6910 (15.7742)  loss_vfl: 0.6593 (0.6957)  loss_bbox: 0.1270 (0.1525)  loss_giou: 0.4349 (0.4579)  loss_vfl_aux_0: 0.7278 (0.7944)  loss_bbox_aux_0: 0.1479 (0.1651)  loss_giou_aux_0: 0.4591 (0.4801)  loss_vfl_aux_1: 0.6960 (0.7518)  loss_bbox_aux_1: 0.1372 (0.1570)  loss_giou_aux_1: 0.4383 (0.4675)  loss_vfl_aux_2: 0.6790 (0.7256)  loss_bbox_aux_2: 0.1302 (0.1545)  loss_giou_aux_2: 0.4416 (0.4615)  loss_vfl_aux_3: 0.6549 (0.7062)  loss_bbox_aux_3: 0.1268 (0.1535)  loss_giou_aux_3: 0.4215 (0.4607)  loss_vfl_aux_4: 0.6448 (0.7017)  loss_bbox_aux_4: 0.1275 (0.1519)  loss_giou_aux_4: 0.4186 (0.4572)  loss_vfl_aux_5: 0.7540 (0.7877)  loss_bbox_aux_5: 0.1794 (0.1997)  loss_giou_aux_5: 0.5055 (0.5404)  loss_vfl_dn_0: 0.4431 (0.4522)  loss_bbox_dn_0: 0.2253 (0.2671)  loss_giou_dn_0: 0.5459 (0.5661)  loss_vfl_dn_1: 0.3800 (0.3852)  loss_bbox_dn_1: 0.1713 (0.1973)  loss_giou_dn_1: 0.4255 (0.4583)  loss_vfl_dn_2: 0.3652 (0.3678)  loss_bbox_dn_2: 0.1576 (0.1769)  loss_giou_dn_2: 0.3935 (0.4297)  loss_vfl_dn_3: 0.3568 (0.3615)  loss_bbox_dn_3: 0.1419 (0.1718)  loss_giou_dn_3: 0.3871 (0.4219)  loss_vfl_dn_4: 0.3542 (0.3587)  loss_bbox_dn_4: 0.1352 (0.1700)  loss_giou_dn_4: 0.3850 (0.4193)  loss_vfl_dn_5: 0.3507 (0.3580)  loss_bbox_dn_5: 0.1352 (0.1700)  loss_giou_dn_5: 0.3852 (0.4196)  time: 0.4739  data: 0.0074  max mem: 16869
Epoch: [51]  [  500/14785]  eta: 1:52:19  lr: 0.000100  loss: 14.7438 (15.7603)  loss_vfl: 0.6334 (0.6932)  loss_bbox: 0.1327 (0.1534)  loss_giou: 0.4076 (0.4570)  loss_vfl_aux_0: 0.7618 (0.7940)  loss_bbox_aux_0: 0.1603 (0.1652)  loss_giou_aux_0: 0.4227 (0.4786)  loss_vfl_aux_1: 0.7110 (0.7503)  loss_bbox_aux_1: 0.1504 (0.1575)  loss_giou_aux_1: 0.4177 (0.4666)  loss_vfl_aux_2: 0.6539 (0.7226)  loss_bbox_aux_2: 0.1387 (0.1555)  loss_giou_aux_2: 0.4185 (0.4612)  loss_vfl_aux_3: 0.6487 (0.7036)  loss_bbox_aux_3: 0.1398 (0.1545)  loss_giou_aux_3: 0.4026 (0.4600)  loss_vfl_aux_4: 0.6342 (0.6990)  loss_bbox_aux_4: 0.1333 (0.1529)  loss_giou_aux_4: 0.4068 (0.4565)  loss_vfl_aux_5: 0.7514 (0.7861)  loss_bbox_aux_5: 0.1746 (0.1996)  loss_giou_aux_5: 0.4886 (0.5390)  loss_vfl_dn_0: 0.4465 (0.4525)  loss_bbox_dn_0: 0.2279 (0.2677)  loss_giou_dn_0: 0.5113 (0.5657)  loss_vfl_dn_1: 0.3708 (0.3852)  loss_bbox_dn_1: 0.1709 (0.1988)  loss_giou_dn_1: 0.4033 (0.4577)  loss_vfl_dn_2: 0.3442 (0.3680)  loss_bbox_dn_2: 0.1530 (0.1782)  loss_giou_dn_2: 0.3690 (0.4289)  loss_vfl_dn_3: 0.3358 (0.3616)  loss_bbox_dn_3: 0.1504 (0.1730)  loss_giou_dn_3: 0.3634 (0.4211)  loss_vfl_dn_4: 0.3354 (0.3587)  loss_bbox_dn_4: 0.1478 (0.1711)  loss_giou_dn_4: 0.3608 (0.4183)  loss_vfl_dn_5: 0.3328 (0.3579)  loss_bbox_dn_5: 0.1478 (0.1712)  loss_giou_dn_5: 0.3612 (0.4185)  time: 0.4933  data: 0.0078  max mem: 16869
Epoch: [51]  [  600/14785]  eta: 1:51:46  lr: 0.000100  loss: 16.3687 (15.7969)  loss_vfl: 0.7194 (0.6929)  loss_bbox: 0.1475 (0.1540)  loss_giou: 0.4091 (0.4591)  loss_vfl_aux_0: 0.8405 (0.7954)  loss_bbox_aux_0: 0.1589 (0.1655)  loss_giou_aux_0: 0.4635 (0.4806)  loss_vfl_aux_1: 0.7820 (0.7502)  loss_bbox_aux_1: 0.1568 (0.1580)  loss_giou_aux_1: 0.4482 (0.4686)  loss_vfl_aux_2: 0.7532 (0.7231)  loss_bbox_aux_2: 0.1467 (0.1559)  loss_giou_aux_2: 0.4122 (0.4632)  loss_vfl_aux_3: 0.7317 (0.7046)  loss_bbox_aux_3: 0.1485 (0.1549)  loss_giou_aux_3: 0.4032 (0.4617)  loss_vfl_aux_4: 0.7298 (0.6988)  loss_bbox_aux_4: 0.1514 (0.1535)  loss_giou_aux_4: 0.4085 (0.4586)  loss_vfl_aux_5: 0.8184 (0.7855)  loss_bbox_aux_5: 0.1827 (0.1998)  loss_giou_aux_5: 0.5313 (0.5405)  loss_vfl_dn_0: 0.4526 (0.4529)  loss_bbox_dn_0: 0.2356 (0.2689)  loss_giou_dn_0: 0.5996 (0.5673)  loss_vfl_dn_1: 0.3910 (0.3859)  loss_bbox_dn_1: 0.1670 (0.1998)  loss_giou_dn_1: 0.4793 (0.4593)  loss_vfl_dn_2: 0.3781 (0.3685)  loss_bbox_dn_2: 0.1571 (0.1790)  loss_giou_dn_2: 0.4260 (0.4305)  loss_vfl_dn_3: 0.3712 (0.3623)  loss_bbox_dn_3: 0.1543 (0.1738)  loss_giou_dn_3: 0.4148 (0.4227)  loss_vfl_dn_4: 0.3695 (0.3594)  loss_bbox_dn_4: 0.1530 (0.1719)  loss_giou_dn_4: 0.4070 (0.4199)  loss_vfl_dn_5: 0.3691 (0.3584)  loss_bbox_dn_5: 0.1531 (0.1719)  loss_giou_dn_5: 0.4071 (0.4202)  time: 0.4716  data: 0.0076  max mem: 16869
Epoch: [51]  [  700/14785]  eta: 1:50:40  lr: 0.000100  loss: 15.0420 (15.7779)  loss_vfl: 0.6967 (0.6940)  loss_bbox: 0.1415 (0.1544)  loss_giou: 0.3837 (0.4558)  loss_vfl_aux_0: 0.8197 (0.7982)  loss_bbox_aux_0: 0.1392 (0.1652)  loss_giou_aux_0: 0.3797 (0.4768)  loss_vfl_aux_1: 0.7705 (0.7505)  loss_bbox_aux_1: 0.1458 (0.1585)  loss_giou_aux_1: 0.3629 (0.4652)  loss_vfl_aux_2: 0.7351 (0.7236)  loss_bbox_aux_2: 0.1424 (0.1564)  loss_giou_aux_2: 0.3522 (0.4598)  loss_vfl_aux_3: 0.7219 (0.7051)  loss_bbox_aux_3: 0.1448 (0.1554)  loss_giou_aux_3: 0.3871 (0.4584)  loss_vfl_aux_4: 0.6968 (0.6995)  loss_bbox_aux_4: 0.1415 (0.1540)  loss_giou_aux_4: 0.3721 (0.4554)  loss_vfl_aux_5: 0.8267 (0.7871)  loss_bbox_aux_5: 0.1966 (0.1998)  loss_giou_aux_5: 0.4515 (0.5369)  loss_vfl_dn_0: 0.4507 (0.4529)  loss_bbox_dn_0: 0.2494 (0.2709)  loss_giou_dn_0: 0.4967 (0.5652)  loss_vfl_dn_1: 0.3756 (0.3859)  loss_bbox_dn_1: 0.1686 (0.2010)  loss_giou_dn_1: 0.3736 (0.4573)  loss_vfl_dn_2: 0.3575 (0.3683)  loss_bbox_dn_2: 0.1531 (0.1801)  loss_giou_dn_2: 0.3597 (0.4286)  loss_vfl_dn_3: 0.3445 (0.3621)  loss_bbox_dn_3: 0.1452 (0.1748)  loss_giou_dn_3: 0.3571 (0.4209)  loss_vfl_dn_4: 0.3450 (0.3591)  loss_bbox_dn_4: 0.1434 (0.1729)  loss_giou_dn_4: 0.3575 (0.4181)  loss_vfl_dn_5: 0.3456 (0.3583)  loss_bbox_dn_5: 0.1434 (0.1729)  loss_giou_dn_5: 0.3579 (0.4184)  time: 0.4533  data: 0.0075  max mem: 16870
Epoch: [51]  [  800/14785]  eta: 1:49:17  lr: 0.000100  loss: 15.6509 (15.7820)  loss_vfl: 0.6598 (0.6929)  loss_bbox: 0.1355 (0.1546)  loss_giou: 0.4814 (0.4568)  loss_vfl_aux_0: 0.7759 (0.7965)  loss_bbox_aux_0: 0.1505 (0.1658)  loss_giou_aux_0: 0.5239 (0.4787)  loss_vfl_aux_1: 0.7142 (0.7486)  loss_bbox_aux_1: 0.1462 (0.1589)  loss_giou_aux_1: 0.5221 (0.4667)  loss_vfl_aux_2: 0.6961 (0.7219)  loss_bbox_aux_2: 0.1445 (0.1567)  loss_giou_aux_2: 0.5052 (0.4610)  loss_vfl_aux_3: 0.6746 (0.7035)  loss_bbox_aux_3: 0.1361 (0.1558)  loss_giou_aux_3: 0.4935 (0.4596)  loss_vfl_aux_4: 0.6680 (0.6979)  loss_bbox_aux_4: 0.1340 (0.1544)  loss_giou_aux_4: 0.4816 (0.4566)  loss_vfl_aux_5: 0.7612 (0.7852)  loss_bbox_aux_5: 0.1786 (0.2002)  loss_giou_aux_5: 0.5833 (0.5389)  loss_vfl_dn_0: 0.4563 (0.4529)  loss_bbox_dn_0: 0.2507 (0.2710)  loss_giou_dn_0: 0.6044 (0.5658)  loss_vfl_dn_1: 0.3851 (0.3860)  loss_bbox_dn_1: 0.1842 (0.2010)  loss_giou_dn_1: 0.4808 (0.4577)  loss_vfl_dn_2: 0.3663 (0.3685)  loss_bbox_dn_2: 0.1611 (0.1802)  loss_giou_dn_2: 0.4669 (0.4289)  loss_vfl_dn_3: 0.3609 (0.3620)  loss_bbox_dn_3: 0.1571 (0.1749)  loss_giou_dn_3: 0.4611 (0.4213)  loss_vfl_dn_4: 0.3580 (0.3591)  loss_bbox_dn_4: 0.1543 (0.1729)  loss_giou_dn_4: 0.4595 (0.4185)  loss_vfl_dn_5: 0.3614 (0.3583)  loss_bbox_dn_5: 0.1543 (0.1730)  loss_giou_dn_5: 0.4594 (0.4187)  time: 0.4085  data: 0.0077  max mem: 16873
Epoch: [51]  [  900/14785]  eta: 1:48:25  lr: 0.000100  loss: 15.5533 (15.7868)  loss_vfl: 0.6557 (0.6936)  loss_bbox: 0.1480 (0.1547)  loss_giou: 0.4153 (0.4576)  loss_vfl_aux_0: 0.7444 (0.7973)  loss_bbox_aux_0: 0.1602 (0.1660)  loss_giou_aux_0: 0.4195 (0.4794)  loss_vfl_aux_1: 0.7028 (0.7481)  loss_bbox_aux_1: 0.1580 (0.1589)  loss_giou_aux_1: 0.4210 (0.4673)  loss_vfl_aux_2: 0.6909 (0.7239)  loss_bbox_aux_2: 0.1553 (0.1566)  loss_giou_aux_2: 0.4279 (0.4614)  loss_vfl_aux_3: 0.6653 (0.7040)  loss_bbox_aux_3: 0.1538 (0.1558)  loss_giou_aux_3: 0.4243 (0.4604)  loss_vfl_aux_4: 0.6554 (0.6987)  loss_bbox_aux_4: 0.1481 (0.1544)  loss_giou_aux_4: 0.4154 (0.4574)  loss_vfl_aux_5: 0.7669 (0.7860)  loss_bbox_aux_5: 0.1940 (0.2005)  loss_giou_aux_5: 0.4926 (0.5399)  loss_vfl_dn_0: 0.4446 (0.4528)  loss_bbox_dn_0: 0.2591 (0.2705)  loss_giou_dn_0: 0.5502 (0.5659)  loss_vfl_dn_1: 0.3794 (0.3858)  loss_bbox_dn_1: 0.1829 (0.2002)  loss_giou_dn_1: 0.4436 (0.4575)  loss_vfl_dn_2: 0.3584 (0.3685)  loss_bbox_dn_2: 0.1622 (0.1794)  loss_giou_dn_2: 0.4249 (0.4289)  loss_vfl_dn_3: 0.3492 (0.3620)  loss_bbox_dn_3: 0.1584 (0.1739)  loss_giou_dn_3: 0.4185 (0.4212)  loss_vfl_dn_4: 0.3428 (0.3590)  loss_bbox_dn_4: 0.1568 (0.1720)  loss_giou_dn_4: 0.4150 (0.4184)  loss_vfl_dn_5: 0.3431 (0.3581)  loss_bbox_dn_5: 0.1568 (0.1720)  loss_giou_dn_5: 0.4164 (0.4187)  time: 0.4445  data: 0.0078  max mem: 16873
Epoch: [51]  [ 1000/14785]  eta: 1:47:36  lr: 0.000100  loss: 16.6183 (15.7612)  loss_vfl: 0.6907 (0.6902)  loss_bbox: 0.1569 (0.1549)  loss_giou: 0.5153 (0.4584)  loss_vfl_aux_0: 0.8196 (0.7948)  loss_bbox_aux_0: 0.1386 (0.1660)  loss_giou_aux_0: 0.5169 (0.4798)  loss_vfl_aux_1: 0.7486 (0.7450)  loss_bbox_aux_1: 0.1359 (0.1590)  loss_giou_aux_1: 0.5042 (0.4678)  loss_vfl_aux_2: 0.7248 (0.7214)  loss_bbox_aux_2: 0.1387 (0.1567)  loss_giou_aux_2: 0.4916 (0.4619)  loss_vfl_aux_3: 0.7119 (0.7008)  loss_bbox_aux_3: 0.1601 (0.1559)  loss_giou_aux_3: 0.5135 (0.4610)  loss_vfl_aux_4: 0.6917 (0.6951)  loss_bbox_aux_4: 0.1568 (0.1547)  loss_giou_aux_4: 0.5141 (0.4582)  loss_vfl_aux_5: 0.7705 (0.7837)  loss_bbox_aux_5: 0.1802 (0.2003)  loss_giou_aux_5: 0.5850 (0.5401)  loss_vfl_dn_0: 0.4522 (0.4521)  loss_bbox_dn_0: 0.2313 (0.2701)  loss_giou_dn_0: 0.5985 (0.5652)  loss_vfl_dn_1: 0.3909 (0.3850)  loss_bbox_dn_1: 0.1576 (0.1995)  loss_giou_dn_1: 0.5002 (0.4570)  loss_vfl_dn_2: 0.3711 (0.3677)  loss_bbox_dn_2: 0.1472 (0.1788)  loss_giou_dn_2: 0.4690 (0.4286)  loss_vfl_dn_3: 0.3657 (0.3612)  loss_bbox_dn_3: 0.1455 (0.1734)  loss_giou_dn_3: 0.4592 (0.4210)  loss_vfl_dn_4: 0.3648 (0.3583)  loss_bbox_dn_4: 0.1455 (0.1716)  loss_giou_dn_4: 0.4530 (0.4183)  loss_vfl_dn_5: 0.3622 (0.3574)  loss_bbox_dn_5: 0.1454 (0.1717)  loss_giou_dn_5: 0.4537 (0.4186)  time: 0.4795  data: 0.0075  max mem: 16873
