nohup: ignoring input
Not init distributed mode.
Start training
/home/multi-gpu/anaconda3/envs/RT/lib/python3.10/site-packages/torch/_utils.py:776: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
Initial lr:  [5e-05, 5e-05, 5e-05]
Resume checkpoint from ./output/rtdetr_regnet_6x_coco/checkpoint0052.pth
Loading last_epoch
Loading model.state_dict
Loading ema.state_dict
Loading optimizer.state_dict
Loading lr_scheduler.state_dict
loading annotations into memory...
Done (t=7.60s)
creating index...
index created!
loading annotations into memory...
Done (t=0.25s)
creating index...
index created!
number of params: 38516260
Epoch: [53]  [    0/14785]  eta: 6:08:35  lr: 0.000100  loss: 14.5282 (14.5282)  loss_vfl: 0.7431 (0.7431)  loss_bbox: 0.1137 (0.1137)  loss_giou: 0.3864 (0.3864)  loss_vfl_aux_0: 0.8469 (0.8469)  loss_bbox_aux_0: 0.1246 (0.1246)  loss_giou_aux_0: 0.4103 (0.4103)  loss_vfl_aux_1: 0.7728 (0.7728)  loss_bbox_aux_1: 0.1154 (0.1154)  loss_giou_aux_1: 0.3914 (0.3914)  loss_vfl_aux_2: 0.7484 (0.7484)  loss_bbox_aux_2: 0.1144 (0.1144)  loss_giou_aux_2: 0.3881 (0.3881)  loss_vfl_aux_3: 0.7436 (0.7436)  loss_bbox_aux_3: 0.1142 (0.1142)  loss_giou_aux_3: 0.3880 (0.3880)  loss_vfl_aux_4: 0.7520 (0.7520)  loss_bbox_aux_4: 0.1138 (0.1138)  loss_giou_aux_4: 0.3866 (0.3866)  loss_vfl_aux_5: 0.8533 (0.8533)  loss_bbox_aux_5: 0.1551 (0.1551)  loss_giou_aux_5: 0.4762 (0.4762)  loss_vfl_dn_0: 0.4332 (0.4332)  loss_bbox_dn_0: 0.1842 (0.1842)  loss_giou_dn_0: 0.5081 (0.5081)  loss_vfl_dn_1: 0.3677 (0.3677)  loss_bbox_dn_1: 0.1354 (0.1354)  loss_giou_dn_1: 0.3989 (0.3989)  loss_vfl_dn_2: 0.3535 (0.3535)  loss_bbox_dn_2: 0.1245 (0.1245)  loss_giou_dn_2: 0.3720 (0.3720)  loss_vfl_dn_3: 0.3484 (0.3484)  loss_bbox_dn_3: 0.1218 (0.1218)  loss_giou_dn_3: 0.3698 (0.3698)  loss_vfl_dn_4: 0.3475 (0.3475)  loss_bbox_dn_4: 0.1204 (0.1204)  loss_giou_dn_4: 0.3695 (0.3695)  loss_vfl_dn_5: 0.3454 (0.3454)  loss_bbox_dn_5: 0.1203 (0.1203)  loss_giou_dn_5: 0.3693 (0.3693)  time: 1.4958  data: 0.4210  max mem: 10439
Epoch: [53]  [  100/14785]  eta: 1:54:10  lr: 0.000100  loss: 14.7391 (15.3202)  loss_vfl: 0.6555 (0.6802)  loss_bbox: 0.1494 (0.1481)  loss_giou: 0.3755 (0.4403)  loss_vfl_aux_0: 0.7981 (0.7779)  loss_bbox_aux_0: 0.1611 (0.1623)  loss_giou_aux_0: 0.3772 (0.4640)  loss_vfl_aux_1: 0.7140 (0.7248)  loss_bbox_aux_1: 0.1562 (0.1530)  loss_giou_aux_1: 0.3704 (0.4492)  loss_vfl_aux_2: 0.6691 (0.6955)  loss_bbox_aux_2: 0.1661 (0.1527)  loss_giou_aux_2: 0.3741 (0.4463)  loss_vfl_aux_3: 0.6613 (0.6840)  loss_bbox_aux_3: 0.1553 (0.1523)  loss_giou_aux_3: 0.3897 (0.4433)  loss_vfl_aux_4: 0.6511 (0.6779)  loss_bbox_aux_4: 0.1567 (0.1497)  loss_giou_aux_4: 0.3736 (0.4413)  loss_vfl_aux_5: 0.7595 (0.7644)  loss_bbox_aux_5: 0.1924 (0.1936)  loss_giou_aux_5: 0.4479 (0.5213)  loss_vfl_dn_0: 0.4372 (0.4431)  loss_bbox_dn_0: 0.2517 (0.2613)  loss_giou_dn_0: 0.5059 (0.5496)  loss_vfl_dn_1: 0.3713 (0.3780)  loss_bbox_dn_1: 0.1836 (0.1905)  loss_giou_dn_1: 0.4037 (0.4443)  loss_vfl_dn_2: 0.3510 (0.3603)  loss_bbox_dn_2: 0.1633 (0.1708)  loss_giou_dn_2: 0.3799 (0.4176)  loss_vfl_dn_3: 0.3416 (0.3547)  loss_bbox_dn_3: 0.1594 (0.1662)  loss_giou_dn_3: 0.3727 (0.4111)  loss_vfl_dn_4: 0.3409 (0.3516)  loss_bbox_dn_4: 0.1564 (0.1649)  loss_giou_dn_4: 0.3714 (0.4088)  loss_vfl_dn_5: 0.3392 (0.3510)  loss_bbox_dn_5: 0.1566 (0.1649)  loss_giou_dn_5: 0.3718 (0.4092)  time: 0.4684  data: 0.0082  max mem: 16866
Epoch: [53]  [  200/14785]  eta: 1:52:32  lr: 0.000100  loss: 15.3959 (15.3508)  loss_vfl: 0.6168 (0.6744)  loss_bbox: 0.1502 (0.1517)  loss_giou: 0.4643 (0.4422)  loss_vfl_aux_0: 0.7249 (0.7693)  loss_bbox_aux_0: 0.1546 (0.1681)  loss_giou_aux_0: 0.4683 (0.4676)  loss_vfl_aux_1: 0.6718 (0.7216)  loss_bbox_aux_1: 0.1465 (0.1587)  loss_giou_aux_1: 0.4577 (0.4531)  loss_vfl_aux_2: 0.6319 (0.6949)  loss_bbox_aux_2: 0.1428 (0.1556)  loss_giou_aux_2: 0.4595 (0.4484)  loss_vfl_aux_3: 0.6059 (0.6794)  loss_bbox_aux_3: 0.1515 (0.1547)  loss_giou_aux_3: 0.4697 (0.4446)  loss_vfl_aux_4: 0.6176 (0.6746)  loss_bbox_aux_4: 0.1502 (0.1528)  loss_giou_aux_4: 0.4641 (0.4428)  loss_vfl_aux_5: 0.7274 (0.7576)  loss_bbox_aux_5: 0.1964 (0.2004)  loss_giou_aux_5: 0.4988 (0.5276)  loss_vfl_dn_0: 0.4423 (0.4454)  loss_bbox_dn_0: 0.2650 (0.2657)  loss_giou_dn_0: 0.5650 (0.5507)  loss_vfl_dn_1: 0.3809 (0.3794)  loss_bbox_dn_1: 0.2020 (0.1942)  loss_giou_dn_1: 0.4537 (0.4428)  loss_vfl_dn_2: 0.3652 (0.3615)  loss_bbox_dn_2: 0.1837 (0.1736)  loss_giou_dn_2: 0.4286 (0.4156)  loss_vfl_dn_3: 0.3602 (0.3553)  loss_bbox_dn_3: 0.1833 (0.1682)  loss_giou_dn_3: 0.4190 (0.4085)  loss_vfl_dn_4: 0.3596 (0.3522)  loss_bbox_dn_4: 0.1826 (0.1666)  loss_giou_dn_4: 0.4101 (0.4061)  loss_vfl_dn_5: 0.3564 (0.3517)  loss_bbox_dn_5: 0.1827 (0.1667)  loss_giou_dn_5: 0.4104 (0.4064)  time: 0.4248  data: 0.0079  max mem: 16866
Epoch: [53]  [  300/14785]  eta: 1:51:16  lr: 0.000100  loss: 15.4594 (15.4806)  loss_vfl: 0.6533 (0.6814)  loss_bbox: 0.1352 (0.1500)  loss_giou: 0.4363 (0.4510)  loss_vfl_aux_0: 0.7486 (0.7733)  loss_bbox_aux_0: 0.1512 (0.1656)  loss_giou_aux_0: 0.4382 (0.4765)  loss_vfl_aux_1: 0.6963 (0.7256)  loss_bbox_aux_1: 0.1337 (0.1569)  loss_giou_aux_1: 0.4501 (0.4615)  loss_vfl_aux_2: 0.6774 (0.7020)  loss_bbox_aux_2: 0.1282 (0.1542)  loss_giou_aux_2: 0.4260 (0.4570)  loss_vfl_aux_3: 0.6771 (0.6879)  loss_bbox_aux_3: 0.1385 (0.1528)  loss_giou_aux_3: 0.4358 (0.4533)  loss_vfl_aux_4: 0.6639 (0.6827)  loss_bbox_aux_4: 0.1414 (0.1508)  loss_giou_aux_4: 0.4357 (0.4517)  loss_vfl_aux_5: 0.7331 (0.7618)  loss_bbox_aux_5: 0.1857 (0.1973)  loss_giou_aux_5: 0.5377 (0.5368)  loss_vfl_dn_0: 0.4495 (0.4463)  loss_bbox_dn_0: 0.2466 (0.2624)  loss_giou_dn_0: 0.5546 (0.5576)  loss_vfl_dn_1: 0.3896 (0.3808)  loss_bbox_dn_1: 0.1663 (0.1928)  loss_giou_dn_1: 0.4512 (0.4504)  loss_vfl_dn_2: 0.3691 (0.3624)  loss_bbox_dn_2: 0.1474 (0.1723)  loss_giou_dn_2: 0.4233 (0.4227)  loss_vfl_dn_3: 0.3610 (0.3562)  loss_bbox_dn_3: 0.1422 (0.1670)  loss_giou_dn_3: 0.4147 (0.4157)  loss_vfl_dn_4: 0.3583 (0.3532)  loss_bbox_dn_4: 0.1425 (0.1654)  loss_giou_dn_4: 0.4137 (0.4133)  loss_vfl_dn_5: 0.3574 (0.3527)  loss_bbox_dn_5: 0.1426 (0.1654)  loss_giou_dn_5: 0.4137 (0.4136)  time: 0.4541  data: 0.0080  max mem: 16866
Epoch: [53]  [  400/14785]  eta: 1:50:53  lr: 0.000100  loss: 14.8106 (15.5193)  loss_vfl: 0.7039 (0.6870)  loss_bbox: 0.1157 (0.1500)  loss_giou: 0.3889 (0.4500)  loss_vfl_aux_0: 0.7939 (0.7797)  loss_bbox_aux_0: 0.1374 (0.1650)  loss_giou_aux_0: 0.4095 (0.4759)  loss_vfl_aux_1: 0.7773 (0.7309)  loss_bbox_aux_1: 0.1266 (0.1566)  loss_giou_aux_1: 0.4035 (0.4606)  loss_vfl_aux_2: 0.7151 (0.7068)  loss_bbox_aux_2: 0.1236 (0.1541)  loss_giou_aux_2: 0.4079 (0.4560)  loss_vfl_aux_3: 0.7136 (0.6947)  loss_bbox_aux_3: 0.1190 (0.1522)  loss_giou_aux_3: 0.3881 (0.4520)  loss_vfl_aux_4: 0.7147 (0.6880)  loss_bbox_aux_4: 0.1157 (0.1507)  loss_giou_aux_4: 0.4131 (0.4506)  loss_vfl_aux_5: 0.8225 (0.7682)  loss_bbox_aux_5: 0.1776 (0.1970)  loss_giou_aux_5: 0.4781 (0.5355)  loss_vfl_dn_0: 0.4463 (0.4474)  loss_bbox_dn_0: 0.2330 (0.2643)  loss_giou_dn_0: 0.5308 (0.5575)  loss_vfl_dn_1: 0.3789 (0.3814)  loss_bbox_dn_1: 0.1653 (0.1937)  loss_giou_dn_1: 0.4196 (0.4506)  loss_vfl_dn_2: 0.3563 (0.3634)  loss_bbox_dn_2: 0.1391 (0.1726)  loss_giou_dn_2: 0.3823 (0.4223)  loss_vfl_dn_3: 0.3463 (0.3572)  loss_bbox_dn_3: 0.1311 (0.1673)  loss_giou_dn_3: 0.3653 (0.4151)  loss_vfl_dn_4: 0.3425 (0.3544)  loss_bbox_dn_4: 0.1285 (0.1656)  loss_giou_dn_4: 0.3593 (0.4126)  loss_vfl_dn_5: 0.3409 (0.3539)  loss_bbox_dn_5: 0.1285 (0.1657)  loss_giou_dn_5: 0.3594 (0.4129)  time: 0.4599  data: 0.0080  max mem: 16866
Epoch: [53]  [  500/14785]  eta: 1:50:57  lr: 0.000100  loss: 15.7478 (15.5785)  loss_vfl: 0.6781 (0.6880)  loss_bbox: 0.1209 (0.1516)  loss_giou: 0.4454 (0.4517)  loss_vfl_aux_0: 0.7195 (0.7813)  loss_bbox_aux_0: 0.1337 (0.1660)  loss_giou_aux_0: 0.4932 (0.4766)  loss_vfl_aux_1: 0.7357 (0.7338)  loss_bbox_aux_1: 0.1262 (0.1575)  loss_giou_aux_1: 0.4653 (0.4614)  loss_vfl_aux_2: 0.7087 (0.7100)  loss_bbox_aux_2: 0.1416 (0.1549)  loss_giou_aux_2: 0.4581 (0.4569)  loss_vfl_aux_3: 0.6779 (0.6958)  loss_bbox_aux_3: 0.1264 (0.1535)  loss_giou_aux_3: 0.4495 (0.4534)  loss_vfl_aux_4: 0.6710 (0.6893)  loss_bbox_aux_4: 0.1260 (0.1522)  loss_giou_aux_4: 0.4398 (0.4520)  loss_vfl_aux_5: 0.7342 (0.7705)  loss_bbox_aux_5: 0.1661 (0.1989)  loss_giou_aux_5: 0.5415 (0.5359)  loss_vfl_dn_0: 0.4438 (0.4478)  loss_bbox_dn_0: 0.2181 (0.2682)  loss_giou_dn_0: 0.5730 (0.5596)  loss_vfl_dn_1: 0.3903 (0.3818)  loss_bbox_dn_1: 0.1538 (0.1968)  loss_giou_dn_1: 0.4652 (0.4524)  loss_vfl_dn_2: 0.3728 (0.3639)  loss_bbox_dn_2: 0.1353 (0.1751)  loss_giou_dn_2: 0.4435 (0.4241)  loss_vfl_dn_3: 0.3648 (0.3576)  loss_bbox_dn_3: 0.1243 (0.1697)  loss_giou_dn_3: 0.4370 (0.4167)  loss_vfl_dn_4: 0.3648 (0.3549)  loss_bbox_dn_4: 0.1226 (0.1680)  loss_giou_dn_4: 0.4359 (0.4141)  loss_vfl_dn_5: 0.3634 (0.3543)  loss_bbox_dn_5: 0.1226 (0.1680)  loss_giou_dn_5: 0.4360 (0.4144)  time: 0.4679  data: 0.0084  max mem: 16870
Epoch: [53]  [  600/14785]  eta: 1:50:34  lr: 0.000100  loss: 15.1650 (15.6154)  loss_vfl: 0.6622 (0.6893)  loss_bbox: 0.1359 (0.1520)  loss_giou: 0.4221 (0.4526)  loss_vfl_aux_0: 0.7304 (0.7806)  loss_bbox_aux_0: 0.1564 (0.1665)  loss_giou_aux_0: 0.4748 (0.4780)  loss_vfl_aux_1: 0.7021 (0.7348)  loss_bbox_aux_1: 0.1502 (0.1582)  loss_giou_aux_1: 0.4479 (0.4628)  loss_vfl_aux_2: 0.6736 (0.7122)  loss_bbox_aux_2: 0.1414 (0.1554)  loss_giou_aux_2: 0.4700 (0.4578)  loss_vfl_aux_3: 0.6527 (0.6979)  loss_bbox_aux_3: 0.1413 (0.1539)  loss_giou_aux_3: 0.4560 (0.4544)  loss_vfl_aux_4: 0.6567 (0.6910)  loss_bbox_aux_4: 0.1360 (0.1526)  loss_giou_aux_4: 0.4276 (0.4529)  loss_vfl_aux_5: 0.7479 (0.7709)  loss_bbox_aux_5: 0.1921 (0.1997)  loss_giou_aux_5: 0.5300 (0.5377)  loss_vfl_dn_0: 0.4557 (0.4485)  loss_bbox_dn_0: 0.2249 (0.2686)  loss_giou_dn_0: 0.5651 (0.5600)  loss_vfl_dn_1: 0.3910 (0.3826)  loss_bbox_dn_1: 0.1685 (0.1977)  loss_giou_dn_1: 0.4553 (0.4532)  loss_vfl_dn_2: 0.3766 (0.3649)  loss_bbox_dn_2: 0.1578 (0.1764)  loss_giou_dn_2: 0.4321 (0.4250)  loss_vfl_dn_3: 0.3738 (0.3585)  loss_bbox_dn_3: 0.1543 (0.1709)  loss_giou_dn_3: 0.4236 (0.4177)  loss_vfl_dn_4: 0.3727 (0.3559)  loss_bbox_dn_4: 0.1549 (0.1693)  loss_giou_dn_4: 0.4210 (0.4151)  loss_vfl_dn_5: 0.3723 (0.3553)  loss_bbox_dn_5: 0.1549 (0.1693)  loss_giou_dn_5: 0.4227 (0.4154)  time: 0.4475  data: 0.0078  max mem: 16870
Epoch: [53]  [  700/14785]  eta: 1:49:21  lr: 0.000100  loss: 15.3245 (15.6488)  loss_vfl: 0.5896 (0.6874)  loss_bbox: 0.1401 (0.1520)  loss_giou: 0.4669 (0.4569)  loss_vfl_aux_0: 0.7094 (0.7800)  loss_bbox_aux_0: 0.1477 (0.1662)  loss_giou_aux_0: 0.4844 (0.4822)  loss_vfl_aux_1: 0.6487 (0.7339)  loss_bbox_aux_1: 0.1446 (0.1577)  loss_giou_aux_1: 0.4602 (0.4668)  loss_vfl_aux_2: 0.6354 (0.7112)  loss_bbox_aux_2: 0.1435 (0.1550)  loss_giou_aux_2: 0.4635 (0.4617)  loss_vfl_aux_3: 0.6013 (0.6957)  loss_bbox_aux_3: 0.1493 (0.1539)  loss_giou_aux_3: 0.4664 (0.4592)  loss_vfl_aux_4: 0.5999 (0.6895)  loss_bbox_aux_4: 0.1401 (0.1524)  loss_giou_aux_4: 0.4670 (0.4571)  loss_vfl_aux_5: 0.6974 (0.7713)  loss_bbox_aux_5: 0.1846 (0.1995)  loss_giou_aux_5: 0.5465 (0.5416)  loss_vfl_dn_0: 0.4375 (0.4486)  loss_bbox_dn_0: 0.2192 (0.2689)  loss_giou_dn_0: 0.5973 (0.5630)  loss_vfl_dn_1: 0.3874 (0.3831)  loss_bbox_dn_1: 0.1587 (0.1972)  loss_giou_dn_1: 0.4811 (0.4554)  loss_vfl_dn_2: 0.3730 (0.3653)  loss_bbox_dn_2: 0.1454 (0.1760)  loss_giou_dn_2: 0.4441 (0.4271)  loss_vfl_dn_3: 0.3634 (0.3588)  loss_bbox_dn_3: 0.1397 (0.1705)  loss_giou_dn_3: 0.4389 (0.4198)  loss_vfl_dn_4: 0.3599 (0.3561)  loss_bbox_dn_4: 0.1376 (0.1688)  loss_giou_dn_4: 0.4381 (0.4172)  loss_vfl_dn_5: 0.3583 (0.3555)  loss_bbox_dn_5: 0.1376 (0.1688)  loss_giou_dn_5: 0.4383 (0.4175)  time: 0.4371  data: 0.0079  max mem: 16871
Epoch: [53]  [  800/14785]  eta: 1:48:19  lr: 0.000100  loss: 16.1058 (15.6969)  loss_vfl: 0.7145 (0.6905)  loss_bbox: 0.1356 (0.1533)  loss_giou: 0.4213 (0.4574)  loss_vfl_aux_0: 0.7941 (0.7834)  loss_bbox_aux_0: 0.1462 (0.1671)  loss_giou_aux_0: 0.4642 (0.4821)  loss_vfl_aux_1: 0.7528 (0.7383)  loss_bbox_aux_1: 0.1425 (0.1587)  loss_giou_aux_1: 0.4103 (0.4668)  loss_vfl_aux_2: 0.7436 (0.7148)  loss_bbox_aux_2: 0.1467 (0.1562)  loss_giou_aux_2: 0.4220 (0.4620)  loss_vfl_aux_3: 0.7286 (0.6998)  loss_bbox_aux_3: 0.1362 (0.1549)  loss_giou_aux_3: 0.4167 (0.4594)  loss_vfl_aux_4: 0.7168 (0.6929)  loss_bbox_aux_4: 0.1356 (0.1535)  loss_giou_aux_4: 0.4202 (0.4576)  loss_vfl_aux_5: 0.7907 (0.7742)  loss_bbox_aux_5: 0.1746 (0.2002)  loss_giou_aux_5: 0.5055 (0.5417)  loss_vfl_dn_0: 0.4622 (0.4489)  loss_bbox_dn_0: 0.2412 (0.2707)  loss_giou_dn_0: 0.5744 (0.5635)  loss_vfl_dn_1: 0.3967 (0.3831)  loss_bbox_dn_1: 0.1566 (0.1987)  loss_giou_dn_1: 0.4760 (0.4560)  loss_vfl_dn_2: 0.3817 (0.3656)  loss_bbox_dn_2: 0.1476 (0.1776)  loss_giou_dn_2: 0.4434 (0.4276)  loss_vfl_dn_3: 0.3722 (0.3590)  loss_bbox_dn_3: 0.1414 (0.1722)  loss_giou_dn_3: 0.4412 (0.4204)  loss_vfl_dn_4: 0.3649 (0.3564)  loss_bbox_dn_4: 0.1399 (0.1705)  loss_giou_dn_4: 0.4363 (0.4177)  loss_vfl_dn_5: 0.3644 (0.3557)  loss_bbox_dn_5: 0.1400 (0.1705)  loss_giou_dn_5: 0.4365 (0.4180)  time: 0.4875  data: 0.0082  max mem: 16871
Epoch: [53]  [  900/14785]  eta: 1:47:01  lr: 0.000100  loss: 15.9960 (15.6742)  loss_vfl: 0.6718 (0.6889)  loss_bbox: 0.1505 (0.1533)  loss_giou: 0.4421 (0.4573)  loss_vfl_aux_0: 0.7659 (0.7823)  loss_bbox_aux_0: 0.1651 (0.1670)  loss_giou_aux_0: 0.4902 (0.4819)  loss_vfl_aux_1: 0.7315 (0.7371)  loss_bbox_aux_1: 0.1653 (0.1588)  loss_giou_aux_1: 0.4774 (0.4667)  loss_vfl_aux_2: 0.7108 (0.7135)  loss_bbox_aux_2: 0.1555 (0.1560)  loss_giou_aux_2: 0.4539 (0.4618)  loss_vfl_aux_3: 0.6915 (0.6981)  loss_bbox_aux_3: 0.1559 (0.1548)  loss_giou_aux_3: 0.4528 (0.4595)  loss_vfl_aux_4: 0.6730 (0.6915)  loss_bbox_aux_4: 0.1505 (0.1535)  loss_giou_aux_4: 0.4493 (0.4575)  loss_vfl_aux_5: 0.7914 (0.7740)  loss_bbox_aux_5: 0.2052 (0.1998)  loss_giou_aux_5: 0.5593 (0.5409)  loss_vfl_dn_0: 0.4442 (0.4488)  loss_bbox_dn_0: 0.2447 (0.2706)  loss_giou_dn_0: 0.5552 (0.5620)  loss_vfl_dn_1: 0.3902 (0.3828)  loss_bbox_dn_1: 0.1834 (0.1986)  loss_giou_dn_1: 0.4409 (0.4546)  loss_vfl_dn_2: 0.3791 (0.3652)  loss_bbox_dn_2: 0.1586 (0.1774)  loss_giou_dn_2: 0.4116 (0.4264)  loss_vfl_dn_3: 0.3745 (0.3586)  loss_bbox_dn_3: 0.1487 (0.1718)  loss_giou_dn_3: 0.4003 (0.4191)  loss_vfl_dn_4: 0.3713 (0.3559)  loss_bbox_dn_4: 0.1497 (0.1701)  loss_giou_dn_4: 0.3971 (0.4164)  loss_vfl_dn_5: 0.3724 (0.3552)  loss_bbox_dn_5: 0.1498 (0.1701)  loss_giou_dn_5: 0.3975 (0.4167)  time: 0.4547  data: 0.0078  max mem: 16871
Epoch: [53]  [ 1000/14785]  eta: 1:46:26  lr: 0.000100  loss: 15.4939 (15.6534)  loss_vfl: 0.6489 (0.6878)  loss_bbox: 0.1369 (0.1528)  loss_giou: 0.3867 (0.4579)  loss_vfl_aux_0: 0.7647 (0.7813)  loss_bbox_aux_0: 0.1453 (0.1662)  loss_giou_aux_0: 0.4290 (0.4821)  loss_vfl_aux_1: 0.7083 (0.7360)  loss_bbox_aux_1: 0.1397 (0.1580)  loss_giou_aux_1: 0.4070 (0.4672)  loss_vfl_aux_2: 0.6734 (0.7130)  loss_bbox_aux_2: 0.1371 (0.1553)  loss_giou_aux_2: 0.3948 (0.4622)  loss_vfl_aux_3: 0.6556 (0.6973)  loss_bbox_aux_3: 0.1357 (0.1543)  loss_giou_aux_3: 0.3988 (0.4599)  loss_vfl_aux_4: 0.6525 (0.6909)  loss_bbox_aux_4: 0.1369 (0.1530)  loss_giou_aux_4: 0.3907 (0.4580)  loss_vfl_aux_5: 0.7699 (0.7734)  loss_bbox_aux_5: 0.1796 (0.1991)  loss_giou_aux_5: 0.4924 (0.5413)  loss_vfl_dn_0: 0.4344 (0.4485)  loss_bbox_dn_0: 0.2556 (0.2684)  loss_giou_dn_0: 0.5257 (0.5609)  loss_vfl_dn_1: 0.3711 (0.3825)  loss_bbox_dn_1: 0.1799 (0.1971)  loss_giou_dn_1: 0.4166 (0.4538)  loss_vfl_dn_2: 0.3569 (0.3650)  loss_bbox_dn_2: 0.1624 (0.1761)  loss_giou_dn_2: 0.4054 (0.4258)  loss_vfl_dn_3: 0.3500 (0.3585)  loss_bbox_dn_3: 0.1493 (0.1706)  loss_giou_dn_3: 0.3990 (0.4185)  loss_vfl_dn_4: 0.3491 (0.3559)  loss_bbox_dn_4: 0.1465 (0.1688)  loss_giou_dn_4: 0.4007 (0.4159)  loss_vfl_dn_5: 0.3492 (0.3552)  loss_bbox_dn_5: 0.1465 (0.1688)  loss_giou_dn_5: 0.4008 (0.4162)  time: 0.4444  data: 0.0078  max mem: 16871
